LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, GDP_MLN_USD ,Flag Codes
CAN,GDP,TOT,USD_CAP,A,2011," 41,666.72 ",
CAN,GDP,TOT,USD_CAP,A,2012," 42,290.88 ",
CAN,GDP,TOT,USD_CAP,A,2013," 44,298.51 ",
CAN,GDP,TOT,USD_CAP,A,2014," 45,753.78 ",
CAN,GDP,TOT,USD_CAP,A,2015," 44,670.05 ",
CAN,GDP,TOT,USD_CAP,A,2016," 46,472.37 ",
CAN,GDP,TOT,USD_CAP,A,2017," 48,317.19 ",
CAN,GDP,TOT,USD_CAP,A,2018," 49,992.81 ",
CAN,GDP,TOT,USD_CAP,A,2019," 50,522.15 ",
CAN,GDP,TOT,USD_CAP,A,2020," 48,380.52 ",
CAN,GDP,TOT,USD_CAP,A,2021," 55,634.07 ",
CAN,GDP,TOT,USD_CAP,A,2022," 61,380.60 ",
DEU,GDP,TOT,MLN_USD,A,2000," 2,236,357.42 ",
DEU,GDP,TOT,MLN_USD,A,2001," 2,336,836.95 ",
DEU,GDP,TOT,MLN_USD,A,2002," 2,406,900.91 ",
DEU,GDP,TOT,MLN_USD,A,2003," 2,468,581.00 ",
DEU,GDP,TOT,MLN_USD,A,2004," 2,585,625.03 ",
DEU,GDP,TOT,MLN_USD,A,2005," 2,622,039.80 ",
DEU,GDP,TOT,MLN_USD,A,2006," 2,813,989.20 ",
DEU,GDP,TOT,MLN_USD,A,2007," 2,985,917.58 ",
DEU,GDP,TOT,MLN_USD,A,2008," 3,103,958.25 ",
DEU,GDP,TOT,MLN_USD,A,2009," 3,015,212.78 ",
DEU,GDP,TOT,MLN_USD,A,2010," 3,184,879.76 ",
DEU,GDP,TOT,MLN_USD,A,2011," 3,415,019.97 ",
DEU,GDP,TOT,MLN_USD,A,2012," 3,487,234.45 ",
DEU,GDP,TOT,MLN_USD,A,2013," 3,628,559.34 ",
DEU,GDP,TOT,MLN_USD,A,2014," 3,807,114.52 ",
DEU,GDP,TOT,MLN_USD,A,2015," 3,889,081.90 ",
DEU,GDP,TOT,MLN_USD,A,2016," 4,165,169.91 ",
DEU,GDP,TOT,MLN_USD,A,2017," 4,386,729.19 ",
DEU,GDP,TOT,MLN_USD,A,2018," 4,576,056.53 ",
DEU,GDP,TOT,MLN_USD,A,2019," 4,840,311.77 ",P
DEU,GDP,TOT,MLN_USD,A,2020," 4,815,452.47 ",P
DEU,GDP,TOT,MLN_USD,A,2021," 5,153,144.25 ",P
DEU,GDP,TOT,MLN_USD,A,2022," 5,582,314.67 ",P
DEU,GDP,TOT,USD_CAP,A,2000," 27,454.45 ",
DEU,GDP,TOT,USD_CAP,A,2001," 28,666.87 ",
DEU,GDP,TOT,USD_CAP,A,2002," 29,504.29 ",
DEU,GDP,TOT,USD_CAP,A,2003," 30,271.14 ",
DEU,GDP,TOT,USD_CAP,A,2004," 31,742.60 ",
DEU,GDP,TOT,USD_CAP,A,2005," 32,236.74 ",
DEU,GDP,TOT,USD_CAP,A,2006," 34,666.57 ",
DEU,GDP,TOT,USD_CAP,A,2007," 36,866.82 ",
DEU,GDP,TOT,USD_CAP,A,2008," 38,432.45 ",
DEU,GDP,TOT,USD_CAP,A,2009," 37,463.97 ",
DEU,GDP,TOT,USD_CAP,A,2010," 39,670.17 ",
DEU,GDP,TOT,USD_CAP,A,2011," 42,541.51 ",
DEU,GDP,TOT,USD_CAP,A,2012," 43,359.54 ",
DEU,GDP,TOT,USD_CAP,A,2013," 44,993.67 ",
DEU,GDP,TOT,USD_CAP,A,2014," 47,011.28 ",
DEU,GDP,TOT,USD_CAP,A,2015," 47,609.56 ",
DEU,GDP,TOT,USD_CAP,A,2016," 50,579.48 ",
DEU,GDP,TOT,USD_CAP,A,2017," 53,071.48 ",
DEU,GDP,TOT,USD_CAP,A,2018," 55,195.72 ",
DEU,GDP,TOT,USD_CAP,A,2019," 58,251.74 ",P
DEU,GDP,TOT,USD_CAP,A,2020," 57,905.18 ",P
DEU,GDP,TOT,USD_CAP,A,2021," 61,939.81 ",P
DEU,GDP,TOT,USD_CAP,A,2022," 66,616.32 ",P
FRA,GDP,TOT,MLN_USD,A,2000," 1,589,447.43 ",
FRA,GDP,TOT,MLN_USD,A,2001," 1,687,216.74 ",
FRA,GDP,TOT,MLN_USD,A,2002," 1,762,925.94 ",
FRA,GDP,TOT,MLN_USD,A,2003," 1,753,702.14 ",
FRA,GDP,TOT,MLN_USD,A,2004," 1,822,285.11 ",
FRA,GDP,TOT,MLN_USD,A,2005," 1,926,880.39 ",
FRA,GDP,TOT,MLN_USD,A,2006," 2,065,681.31 ",
FRA,GDP,TOT,MLN_USD,A,2007," 2,184,814.78 ",
FRA,GDP,TOT,MLN_USD,A,2008," 2,259,255.84 ",
FRA,GDP,TOT,MLN_USD,A,2009," 2,243,848.79 ",
FRA,GDP,TOT,MLN_USD,A,2010," 2,334,273.27 ",
FRA,GDP,TOT,MLN_USD,A,2011," 2,446,474.54 ",
FRA,GDP,TOT,MLN_USD,A,2012," 2,474,005.29 ",
FRA,GDP,TOT,MLN_USD,A,2013," 2,608,523.50 ",
FRA,GDP,TOT,MLN_USD,A,2014," 2,662,032.87 ",
FRA,GDP,TOT,MLN_USD,A,2015," 2,718,495.13 ",
FRA,GDP,TOT,MLN_USD,A,2016," 2,864,105.63 ",
FRA,GDP,TOT,MLN_USD,A,2017," 2,983,010.67 ",
FRA,GDP,TOT,MLN_USD,A,2018," 3,125,379.86 ",
FRA,GDP,TOT,MLN_USD,A,2019," 3,452,964.23 ",
FRA,GDP,TOT,MLN_USD,A,2020," 3,344,390.83 ",
FRA,GDP,TOT,MLN_USD,A,2021," 3,648,082.84 ",P
FRA,GDP,TOT,MLN_USD,A,2022," 3,914,760.61 ",P
FRA,GDP,TOT,USD_CAP,A,2000," 26,098.02 ",
FRA,GDP,TOT,USD_CAP,A,2001," 27,502.39 ",
FRA,GDP,TOT,USD_CAP,A,2002," 28,528.16 ",
FRA,GDP,TOT,USD_CAP,A,2003," 28,178.71 ",
FRA,GDP,TOT,USD_CAP,A,2004," 29,065.88 ",
FRA,GDP,TOT,USD_CAP,A,2005," 30,504.06 ",
FRA,GDP,TOT,USD_CAP,A,2006," 32,474.16 ",
FRA,GDP,TOT,USD_CAP,A,2007," 34,136.13 ",
FRA,GDP,TOT,USD_CAP,A,2008," 35,102.87 ",
FRA,GDP,TOT,USD_CAP,A,2009," 34,685.10 ",
FRA,GDP,TOT,USD_CAP,A,2010," 35,905.82 ",
FRA,GDP,TOT,USD_CAP,A,2011," 37,447.95 ",
FRA,GDP,TOT,USD_CAP,A,2012," 37,684.20 ",
FRA,GDP,TOT,USD_CAP,A,2013," 39,528.47 ",
FRA,GDP,TOT,USD_CAP,A,2014," 40,144.06 ",
FRA,GDP,TOT,USD_CAP,A,2015," 40,829.89 ",
FRA,GDP,TOT,USD_CAP,A,2016," 42,855.94 ",
FRA,GDP,TOT,USD_CAP,A,2017," 44,444.93 ",
FRA,GDP,TOT,USD_CAP,A,2018," 46,336.93 ",
FRA,GDP,TOT,USD_CAP,A,2019," 50,961.75 ",
FRA,GDP,TOT,USD_CAP,A,2020," 49,180.77 ",
FRA,GDP,TOT,USD_CAP,A,2021," 53,462.73 ",P
FRA,GDP,TOT,USD_CAP,A,2022," 57,179.84 ",P
GBR,GDP,TOT,MLN_USD,A,2000," 1,562,408.66 ",
GBR,GDP,TOT,MLN_USD,A,2001," 1,650,356.89 ",
GBR,GDP,TOT,MLN_USD,A,2002," 1,727,032.13 ",
GBR,GDP,TOT,MLN_USD,A,2003," 1,808,368.02 ",
GBR,GDP,TOT,MLN_USD,A,2004," 1,922,941.36 ",
GBR,GDP,TOT,MLN_USD,A,2005," 1,976,697.87 ",
GBR,GDP,TOT,MLN_USD,A,2006," 2,113,504.39 ",
GBR,GDP,TOT,MLN_USD,A,2007," 2,178,375.50 ",
GBR,GDP,TOT,MLN_USD,A,2008," 2,271,084.66 ",
GBR,GDP,TOT,MLN_USD,A,2009," 2,181,121.13 ",
GBR,GDP,TOT,MLN_USD,A,2010," 2,290,196.90 ",
GBR,GDP,TOT,MLN_USD,A,2011," 2,354,769.79 ",
GBR,GDP,TOT,MLN_USD,A,2012," 2,442,463.44 ",
GBR,GDP,TOT,MLN_USD,A,2013," 2,562,195.17 ",
GBR,GDP,TOT,MLN_USD,A,2014," 2,666,663.77 ",
GBR,GDP,TOT,MLN_USD,A,2015," 2,767,234.20 ",
GBR,GDP,TOT,MLN_USD,A,2016," 2,892,299.17 ",
GBR,GDP,TOT,MLN_USD,A,2017," 3,041,891.84 ",
GBR,GDP,TOT,MLN_USD,A,2018," 3,129,647.77 ",
GBR,GDP,TOT,MLN_USD,A,2019," 3,335,878.33 ",
GBR,GDP,TOT,MLN_USD,A,2020," 3,220,300.96 ",
GBR,GDP,TOT,MLN_USD,A,2021," 3,542,061.49 ",
GBR,GDP,TOT,MLN_USD,A,2022," 3,848,221.20 ",
GBR,GDP,TOT,USD_CAP,A,2000," 26,532.77 ",
GBR,GDP,TOT,USD_CAP,A,2001," 27,918.68 ",
GBR,GDP,TOT,USD_CAP,A,2002," 29,091.27 ",
GBR,GDP,TOT,USD_CAP,A,2003," 30,322.92 ",
GBR,GDP,TOT,USD_CAP,A,2004," 32,075.75 ",
GBR,GDP,TOT,USD_CAP,A,2005," 32,719.74 ",
GBR,GDP,TOT,USD_CAP,A,2006," 34,746.16 ",
GBR,GDP,TOT,USD_CAP,A,2007," 35,525.29 ",
GBR,GDP,TOT,USD_CAP,A,2008," 36,734.68 ",
GBR,GDP,TOT,USD_CAP,A,2009," 35,031.90 ",
GBR,GDP,TOT,USD_CAP,A,2010," 36,491.35 ",
GBR,GDP,TOT,USD_CAP,A,2011," 37,208.97 ",
GBR,GDP,TOT,USD_CAP,A,2012," 38,340.22 ",
GBR,GDP,TOT,USD_CAP,A,2013," 39,968.10 ",
GBR,GDP,TOT,USD_CAP,A,2014," 41,281.54 ",
GBR,GDP,TOT,USD_CAP,A,2015," 42,500.91 ",
GBR,GDP,TOT,USD_CAP,A,2016," 44,057.69 ",
GBR,GDP,TOT,USD_CAP,A,2017," 46,061.35 ",
GBR,GDP,TOT,USD_CAP,A,2018," 47,107.71 ",
GBR,GDP,TOT,USD_CAP,A,2019," 49,940.54 ",
GBR,GDP,TOT,USD_CAP,A,2020," 48,006.16 ",
GBR,GDP,TOT,USD_CAP,A,2021," 52,846.08 ",
GBR,GDP,TOT,USD_CAP,A,2022," 56,765.96 ",
ITA,GDP,TOT,MLN_USD,A,2000," 1,541,756.52 ",
ITA,GDP,TOT,MLN_USD,A,2001," 1,597,668.51 ",
ITA,GDP,TOT,MLN_USD,A,2002," 1,639,680.50 ",
ITA,GDP,TOT,MLN_USD,A,2003," 1,673,462.42 ",
ITA,GDP,TOT,MLN_USD,A,2004," 1,704,921.31 ",
ITA,GDP,TOT,MLN_USD,A,2005," 1,746,658.11 ",
ITA,GDP,TOT,MLN_USD,A,2006," 1,886,969.75 ",
ITA,GDP,TOT,MLN_USD,A,2007," 1,995,607.60 ",
ITA,GDP,TOT,MLN_USD,A,2008," 2,089,717.31 ",
ITA,GDP,TOT,MLN_USD,A,2009," 2,044,812.14 ",
ITA,GDP,TOT,MLN_USD,A,2010," 2,083,742.44 ",
ITA,GDP,TOT,MLN_USD,A,2011," 2,173,169.96 ",
ITA,GDP,TOT,MLN_USD,A,2012," 2,172,383.11 ",
ITA,GDP,TOT,MLN_USD,A,2013," 2,187,376.61 ",
ITA,GDP,TOT,MLN_USD,A,2014," 2,200,256.41 ",
ITA,GDP,TOT,MLN_USD,A,2015," 2,240,922.48 ",
ITA,GDP,TOT,MLN_USD,A,2016," 2,420,672.14 ",
ITA,GDP,TOT,MLN_USD,A,2017," 2,517,184.47 ",
ITA,GDP,TOT,MLN_USD,A,2018," 2,600,326.87 ",
ITA,GDP,TOT,MLN_USD,A,2019," 2,775,612.59 ",
ITA,GDP,TOT,MLN_USD,A,2020," 2,627,334.15 ",
ITA,GDP,TOT,MLN_USD,A,2021," 2,951,508.17 ",
ITA,GDP,TOT,MLN_USD,A,2022," 3,267,793.90 ",
ITA,GDP,TOT,USD_CAP,A,2000," 27,075.86 ",
ITA,GDP,TOT,USD_CAP,A,2001," 28,039.21 ",
ITA,GDP,TOT,USD_CAP,A,2002," 28,721.08 ",
ITA,GDP,TOT,USD_CAP,A,2003," 29,154.80 ",
ITA,GDP,TOT,USD_CAP,A,2004," 29,482.52 ",
ITA,GDP,TOT,USD_CAP,A,2005," 30,028.49 ",
ITA,GDP,TOT,USD_CAP,A,2006," 32,311.18 ",
ITA,GDP,TOT,USD_CAP,A,2007," 33,964.20 ",
ITA,GDP,TOT,USD_CAP,A,2008," 35,292.60 ",
ITA,GDP,TOT,USD_CAP,A,2009," 34,334.56 ",
ITA,GDP,TOT,USD_CAP,A,2010," 34,833.89 ",
ITA,GDP,TOT,USD_CAP,A,2011," 36,203.33 ",
ITA,GDP,TOT,USD_CAP,A,2012," 36,091.37 ",
ITA,GDP,TOT,USD_CAP,A,2013," 36,267.93 ",
ITA,GDP,TOT,USD_CAP,A,2014," 36,475.98 ",
ITA,GDP,TOT,USD_CAP,A,2015," 37,206.33 ",
ITA,GDP,TOT,USD_CAP,A,2016," 40,267.22 ",
ITA,GDP,TOT,USD_CAP,A,2017," 41,951.47 ",
ITA,GDP,TOT,USD_CAP,A,2018," 43,427.66 ",
ITA,GDP,TOT,USD_CAP,A,2019," 46,470.02 ",
ITA,GDP,TOT,USD_CAP,A,2020," 44,202.27 ",
ITA,GDP,TOT,USD_CAP,A,2021," 49,912.88 ",
ITA,GDP,TOT,USD_CAP,A,2022," 55,373.48 ",
JPN,GDP,TOT,MLN_USD,A,2000," 3,461,199.21 ",
JPN,GDP,TOT,MLN_USD,A,2001," 3,552,841.44 ",
JPN,GDP,TOT,MLN_USD,A,2002," 3,647,933.24 ",
JPN,GDP,TOT,MLN_USD,A,2003," 3,753,919.25 ",
JPN,GDP,TOT,MLN_USD,A,2004," 3,938,955.77 ",
JPN,GDP,TOT,MLN_USD,A,2005," 4,110,440.49 ",
JPN,GDP,TOT,MLN_USD,A,2006," 4,300,322.19 ",
JPN,GDP,TOT,MLN_USD,A,2007," 4,482,081.29 ",
JPN,GDP,TOT,MLN_USD,A,2008," 4,517,267.52 ",
JPN,GDP,TOT,MLN_USD,A,2009," 4,295,628.99 ",
JPN,GDP,TOT,MLN_USD,A,2010," 4,525,401.31 ",
JPN,GDP,TOT,MLN_USD,A,2011," 4,629,400.47 ",
JPN,GDP,TOT,MLN_USD,A,2012," 4,799,612.88 ",
JPN,GDP,TOT,MLN_USD,A,2013," 5,021,591.10 ",
JPN,GDP,TOT,MLN_USD,A,2014," 5,034,454.62 ",
JPN,GDP,TOT,MLN_USD,A,2015," 5,199,915.22 ",
JPN,GDP,TOT,MLN_USD,A,2016," 5,158,900.41 ",
JPN,GDP,TOT,MLN_USD,A,2017," 5,262,254.97 ",
JPN,GDP,TOT,MLN_USD,A,2018," 5,344,060.94 ",
JPN,GDP,TOT,MLN_USD,A,2019," 5,404,462.29 ",
JPN,GDP,TOT,MLN_USD,A,2020," 5,351,114.18 ",
JPN,GDP,TOT,MLN_USD,A,2021," 5,566,714.34 ",
JPN,GDP,TOT,MLN_USD,A,2022," 5,862,148.77 ",E
JPN,GDP,TOT,USD_CAP,A,2000," 27,289.85 ",
JPN,GDP,TOT,USD_CAP,A,2001," 27,946.08 ",
JPN,GDP,TOT,USD_CAP,A,2002," 28,633.70 ",
JPN,GDP,TOT,USD_CAP,A,2003," 29,411.59 ",
JPN,GDP,TOT,USD_CAP,A,2004," 30,837.18 ",
JPN,GDP,TOT,USD_CAP,A,2005," 32,174.40 ",
JPN,GDP,TOT,USD_CAP,A,2006," 33,638.84 ",
JPN,GDP,TOT,USD_CAP,A,2007," 35,021.73 ",
JPN,GDP,TOT,USD_CAP,A,2008," 35,278.75 ",
JPN,GDP,TOT,USD_CAP,A,2009," 33,550.69 ",
JPN,GDP,TOT,USD_CAP,A,2010," 35,342.82 ",
JPN,GDP,TOT,USD_CAP,A,2011," 36,215.01 ",
JPN,GDP,TOT,USD_CAP,A,2012," 37,628.68 ",
JPN,GDP,TOT,USD_CAP,A,2013," 39,436.68 ",
JPN,GDP,TOT,USD_CAP,A,2014," 39,559.76 ",
JPN,GDP,TOT,USD_CAP,A,2015," 40,908.78 ",
JPN,GDP,TOT,USD_CAP,A,2016," 40,642.70 ",
JPN,GDP,TOT,USD_CAP,A,2017," 41,531.22 ",
JPN,GDP,TOT,USD_CAP,A,2018," 42,264.59 ",
JPN,GDP,TOT,USD_CAP,A,2019," 42,835.82 ",
JPN,GDP,TOT,USD_CAP,A,2020," 42,567.67 ",
JPN,GDP,TOT,USD_CAP,A,2021," 44,355.58 ",
JPN,GDP,TOT,USD_CAP,A,2022," 46,917.08 ",E
OECD,GDP,TOT,MLN_USD,A,2000," 29,696,850.86 ",E
OECD,GDP,TOT,MLN_USD,A,2001," 30,853,592.25 ",E
OECD,GDP,TOT,MLN_USD,A,2002," 32,036,503.20 ",E
OECD,GDP,TOT,MLN_USD,A,2003," 33,236,807.56 ",E
OECD,GDP,TOT,MLN_USD,A,2004," 35,250,255.85 ",E
OECD,GDP,TOT,MLN_USD,A,2005," 37,175,692.20 ",
OECD,GDP,TOT,MLN_USD,A,2006," 39,947,560.00 ",
OECD,GDP,TOT,MLN_USD,A,2007," 42,208,129.77 ",
OECD,GDP,TOT,MLN_USD,A,2008," 43,637,125.62 ",
OECD,GDP,TOT,MLN_USD,A,2009," 42,709,605.07 ",
OECD,GDP,TOT,MLN_USD,A,2010," 44,675,054.72 ",B
OECD,GDP,TOT,MLN_USD,A,2011," 46,757,743.33 ",
OECD,GDP,TOT,MLN_USD,A,2012," 48,298,934.70 ",
OECD,GDP,TOT,MLN_USD,A,2013," 50,325,538.59 ",
OECD,GDP,TOT,MLN_USD,A,2014," 52,097,533.56 ",
OECD,GDP,TOT,MLN_USD,A,2015," 53,908,698.77 ",
OECD,GDP,TOT,MLN_USD,A,2016," 56,126,230.36 ",
OECD,GDP,TOT,MLN_USD,A,2017," 58,611,408.70 ",
OECD,GDP,TOT,MLN_USD,A,2018," 61,252,564.49 ",
OECD,GDP,TOT,MLN_USD,A,2019," 64,221,976.47 ",P
OECD,GDP,TOT,MLN_USD,A,2020," 63,188,022.03 ",P
OECD,GDP,TOT,MLN_USD,A,2021," 69,602,850.43 ",P
OECD,GDP,TOT,MLN_USD,A,2022," 76,796,228.44 ",E
OECD,GDP,TOT,USD_CAP,A,2000," 24,711.34 ",E
OECD,GDP,TOT,USD_CAP,A,2001," 25,494.74 ",E
OECD,GDP,TOT,USD_CAP,A,2002," 26,280.97 ",E
OECD,GDP,TOT,USD_CAP,A,2003," 27,071.37 ",E
OECD,GDP,TOT,USD_CAP,A,2004," 28,514.90 ",E
OECD,GDP,TOT,USD_CAP,A,2005," 29,814.04 ",
OECD,GDP,TOT,USD_CAP,A,2006," 31,865.25 ",
OECD,GDP,TOT,USD_CAP,A,2007," 33,414.40 ",
OECD,GDP,TOT,USD_CAP,A,2008," 34,279.79 ",B
OECD,GDP,TOT,USD_CAP,A,2009," 33,307.09 ",
OECD,GDP,TOT,USD_CAP,A,2010," 34,609.66 ",B
OECD,GDP,TOT,USD_CAP,A,2011," 35,996.20 ",
OECD,GDP,TOT,USD_CAP,A,2012," 37,021.01 ",
OECD,GDP,TOT,USD_CAP,A,2013," 38,355.86 ",
OECD,GDP,TOT,USD_CAP,A,2014," 39,453.62 ",
OECD,GDP,TOT,USD_CAP,A,2015," 40,569.98 ",
OECD,GDP,TOT,USD_CAP,A,2016," 41,966.38 ",
OECD,GDP,TOT,USD_CAP,A,2017," 43,563.68 ",
OECD,GDP,TOT,USD_CAP,A,2018," 45,192.43 ",
OECD,GDP,TOT,USD_CAP,A,2019," 47,134.52 ",P
OECD,GDP,TOT,USD_CAP,A,2020," 46,159.22 ",P
OECD,GDP,TOT,USD_CAP,A,2021," 50,715.13 ",P
OECD,GDP,TOT,USD_CAP,A,2022," 55,681.37 ",E
USA,GDP,TOT,MLN_USD,A,2000," 10,250,952.00 ",
USA,GDP,TOT,MLN_USD,A,2001," 10,581,929.00 ",
USA,GDP,TOT,MLN_USD,A,2002," 10,929,108.00 ",
USA,GDP,TOT,MLN_USD,A,2003," 11,456,450.00 ",
USA,GDP,TOT,MLN_USD,A,2004," 12,217,196.00 ",
USA,GDP,TOT,MLN_USD,A,2005," 13,039,197.00 ",
USA,GDP,TOT,MLN_USD,A,2006," 13,815,583.00 ",
USA,GDP,TOT,MLN_USD,A,2007," 14,474,228.00 ",
USA,GDP,TOT,MLN_USD,A,2008," 14,769,862.00 ",
USA,GDP,TOT,MLN_USD,A,2009," 14,478,067.00 ",
USA,GDP,TOT,MLN_USD,A,2010," 15,048,970.00 ",
USA,GDP,TOT,MLN_USD,A,2011," 15,599,731.00 ",
USA,GDP,TOT,MLN_USD,A,2012," 16,253,970.00 ",
USA,GDP,TOT,MLN_USD,A,2013," 16,843,196.00 ",
USA,GDP,TOT,MLN_USD,A,2014," 17,550,687.00 ",
USA,GDP,TOT,MLN_USD,A,2015," 18,206,023.00 ",
USA,GDP,TOT,MLN_USD,A,2016," 18,695,106.00 ",
USA,GDP,TOT,MLN_USD,A,2017," 19,477,337.00 ",
USA,GDP,TOT,MLN_USD,A,2018," 20,533,058.00 ",
USA,GDP,TOT,MLN_USD,A,2019," 21,380,976.00 ",
USA,GDP,TOT,MLN_USD,A,2020," 21,060,474.00 ",
USA,GDP,TOT,MLN_USD,A,2021," 23,315,081.00 ",
USA,GDP,TOT,MLN_USD,A,2022," 25,439,700.00 ",E
USA,GDP,TOT,USD_CAP,A,2000," 36,299.66 ",
USA,GDP,TOT,USD_CAP,A,2001," 37,100.29 ",
USA,GDP,TOT,USD_CAP,A,2002," 37,954.22 ",
USA,GDP,TOT,USD_CAP,A,2003," 39,419.91 ",
USA,GDP,TOT,USD_CAP,A,2004," 41,659.66 ",
USA,GDP,TOT,USD_CAP,A,2005," 44,052.38 ",
USA,GDP,TOT,USD_CAP,A,2006," 46,234.11 ",
USA,GDP,TOT,USD_CAP,A,2007," 47,976.20 ",
USA,GDP,TOT,USD_CAP,A,2008," 48,498.45 ",
USA,GDP,TOT,USD_CAP,A,2009," 47,122.99 ",
USA,GDP,TOT,USD_CAP,A,2010," 48,570.29 ",
USA,GDP,TOT,USD_CAP,A,2011," 49,951.91 ",
USA,GDP,TOT,USD_CAP,A,2012," 51,644.99 ",
USA,GDP,TOT,USD_CAP,A,2013," 53,116.52 ",
USA,GDP,TOT,USD_CAP,A,2014," 54,914.37 ",
USA,GDP,TOT,USD_CAP,A,2015," 56,520.61 ",
USA,GDP,TOT,USD_CAP,A,2016," 57,592.69 ",
USA,GDP,TOT,USD_CAP,A,2017," 59,589.23 ",
USA,GDP,TOT,USD_CAP,A,2018," 62,449.61 ",
USA,GDP,TOT,USD_CAP,A,2019," 64,690.27 ",
USA,GDP,TOT,USD_CAP,A,2020," 63,480.86 ",
USA,GDP,TOT,USD_CAP,A,2021," 70,181.12 ",
USA,GDP,TOT,USD_CAP,A,2022," 76,291.02 ",E
