LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,OILP_USD_BAR,Flag Codes
FRA,OILIMPPRICE,TOT,USD_BAR,A,2021,71.7,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2000,28.45,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2001,24.45,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2002,24.58,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2003,29.13,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2004,37.75,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2005,53.79,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2006,65,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2007,73.8,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2008,99.34,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2009,62.39,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2010,80.6,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2011,113.49,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2012,112.62,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2013,110.27,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2014,100.07,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2015,53.81,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2016,44.62,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2017,54.69,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2018,72.65,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2019,65.58,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2020,44.62,
GBR,OILIMPPRICE,TOT,USD_BAR,A,2021,71.2,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2000,27.77,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2001,23.87,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2002,24.34,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2003,28.58,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2004,36.6,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2005,51.33,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2006,62.5,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2007,70.2,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2008,96.67,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2009,60.69,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2010,79.29,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2011,110.23,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2012,112.18,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2013,109.98,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2014,99.09,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2015,52.06,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2016,42.33,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2017,53.17,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2018,70.88,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2019,64.7,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2020,43.24,
ITA,OILIMPPRICE,TOT,USD_BAR,A,2021,71.45,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2000,28.72,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2001,25.01,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2002,24.96,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2003,29.26,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2004,36.59,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2005,51.57,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2006,64.03,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2007,70.09,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2008,100.98,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2009,61.29,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2010,79.43,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2011,109.3,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2012,114.75,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2013,110.61,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2014,104.16,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2015,54.2,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2016,41.79,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2017,54.42,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2018,72.85,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2019,66.78,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2020,46.85,
JPN,OILIMPPRICE,TOT,USD_BAR,A,2021,70.25,
USA,OILIMPPRICE,TOT,USD_BAR,A,2000,27.54,
USA,OILIMPPRICE,TOT,USD_BAR,A,2001,22.07,
USA,OILIMPPRICE,TOT,USD_BAR,A,2002,23.52,
USA,OILIMPPRICE,TOT,USD_BAR,A,2003,27.66,
USA,OILIMPPRICE,TOT,USD_BAR,A,2004,35.86,
USA,OILIMPPRICE,TOT,USD_BAR,A,2005,48.82,
USA,OILIMPPRICE,TOT,USD_BAR,A,2006,59.17,
USA,OILIMPPRICE,TOT,USD_BAR,A,2007,66.77,
USA,OILIMPPRICE,TOT,USD_BAR,A,2008,94.97,
USA,OILIMPPRICE,TOT,USD_BAR,A,2009,58.83,
USA,OILIMPPRICE,TOT,USD_BAR,A,2010,76.02,
USA,OILIMPPRICE,TOT,USD_BAR,A,2011,102.43,
USA,OILIMPPRICE,TOT,USD_BAR,A,2012,101.16,
USA,OILIMPPRICE,TOT,USD_BAR,A,2013,97.26,
USA,OILIMPPRICE,TOT,USD_BAR,A,2014,89.43,
USA,OILIMPPRICE,TOT,USD_BAR,A,2015,45.81,
USA,OILIMPPRICE,TOT,USD_BAR,A,2016,37.94,
USA,OILIMPPRICE,TOT,USD_BAR,A,2017,48.12,
USA,OILIMPPRICE,TOT,USD_BAR,A,2018,59.19,
USA,OILIMPPRICE,TOT,USD_BAR,A,2019,56.33,
USA,OILIMPPRICE,TOT,USD_BAR,A,2020,36.57,
USA,OILIMPPRICE,TOT,USD_BAR,A,2021,64.43,
