LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, REC_Mill_USD ,Flag Codes
FRA,RENEWABLE,TOT,KTOE,A,2002, 369.81 ,
FRA,RENEWABLE,TOT,KTOE,A,2003, 446.27 ,
FRA,RENEWABLE,TOT,KTOE,A,2004, 591.10 ,
FRA,RENEWABLE,TOT,KTOE,A,2005, 829.60 ,
FRA,RENEWABLE,TOT,KTOE,A,2006, 979.37 ,
FRA,RENEWABLE,TOT,KTOE,A,2007," 1,202.51 ",
FRA,RENEWABLE,TOT,KTOE,A,2008," 1,828.56 ",
FRA,RENEWABLE,TOT,KTOE,A,2009," 1,164.67 ",
FRA,RENEWABLE,TOT,KTOE,A,2010," 1,675.17 ",
FRA,RENEWABLE,TOT,KTOE,A,2011," 2,014.47 ",
FRA,RENEWABLE,TOT,KTOE,A,2012," 2,369.07 ",
FRA,RENEWABLE,TOT,KTOE,A,2013," 2,581.15 ",
FRA,RENEWABLE,TOT,KTOE,A,2014," 2,178.21 ",
FRA,RENEWABLE,TOT,KTOE,A,2015," 1,196.02 ",
FRA,RENEWABLE,TOT,KTOE,A,2016," 1,049.87 ",
FRA,RENEWABLE,TOT,KTOE,A,2017," 1,289.35 ",
FRA,RENEWABLE,TOT,KTOE,A,2018," 1,827.92 ",
FRA,RENEWABLE,TOT,KTOE,A,2019," 1,672.64 ",
FRA,RENEWABLE,TOT,KTOE,A,2020," 1,138.97 ",
FRA,RENEWABLE,TOT,KTOE,A,2021," 1,964.74 ",
GBR,RENEWABLE,TOT,KTOE,A,2000, 64.40 ,
GBR,RENEWABLE,TOT,KTOE,A,2001, 55.62 ,
GBR,RENEWABLE,TOT,KTOE,A,2002, 62.05 ,
GBR,RENEWABLE,TOT,KTOE,A,2003, 78.80 ,
GBR,RENEWABLE,TOT,KTOE,A,2004, 122.38 ,
GBR,RENEWABLE,TOT,KTOE,A,2005, 210.03 ,
GBR,RENEWABLE,TOT,KTOE,A,2006, 273.18 ,
GBR,RENEWABLE,TOT,KTOE,A,2007, 334.31 ,
GBR,RENEWABLE,TOT,KTOE,A,2008, 528.65 ,
GBR,RENEWABLE,TOT,KTOE,A,2009, 373.52 ,
GBR,RENEWABLE,TOT,KTOE,A,2010, 535.06 ,
GBR,RENEWABLE,TOT,KTOE,A,2011, 850.53 ,
GBR,RENEWABLE,TOT,KTOE,A,2012, 900.11 ,
GBR,RENEWABLE,TOT,KTOE,A,2013," 1,053.89 ",
GBR,RENEWABLE,TOT,KTOE,A,2014," 1,132.75 ",
GBR,RENEWABLE,TOT,KTOE,A,2015, 736.34 ,
GBR,RENEWABLE,TOT,KTOE,A,2016, 632.98 ,
GBR,RENEWABLE,TOT,KTOE,A,2017, 867.75 ,
GBR,RENEWABLE,TOT,KTOE,A,2018," 1,300.44 ",
GBR,RENEWABLE,TOT,KTOE,A,2019," 1,279.29 ",
GBR,RENEWABLE,TOT,KTOE,A,2020, 936.06 ,
GBR,RENEWABLE,TOT,KTOE,A,2021," 1,475.32 ",
ITA,RENEWABLE,TOT,KTOE,A,2000, 280.83 ,
ITA,RENEWABLE,TOT,KTOE,A,2001, 246.84 ,
ITA,RENEWABLE,TOT,KTOE,A,2002, 265.05 ,
ITA,RENEWABLE,TOT,KTOE,A,2003, 368.95 ,
ITA,RENEWABLE,TOT,KTOE,A,2004, 474.46 ,
ITA,RENEWABLE,TOT,KTOE,A,2005, 724.10 ,
ITA,RENEWABLE,TOT,KTOE,A,2006, 957.91 ,
ITA,RENEWABLE,TOT,KTOE,A,2007," 1,189.61 ",
ITA,RENEWABLE,TOT,KTOE,A,2008," 1,905.09 ",
ITA,RENEWABLE,TOT,KTOE,A,2009," 1,276.10 ",
ITA,RENEWABLE,TOT,KTOE,A,2010," 1,733.62 ",
ITA,RENEWABLE,TOT,KTOE,A,2011," 2,317.68 ",
ITA,RENEWABLE,TOT,KTOE,A,2012," 2,679.39 ",
ITA,RENEWABLE,TOT,KTOE,A,2013," 2,900.24 ",
ITA,RENEWABLE,TOT,KTOE,A,2014," 2,627.10 ",
ITA,RENEWABLE,TOT,KTOE,A,2015," 1,367.55 ",
ITA,RENEWABLE,TOT,KTOE,A,2016," 1,101.34 ",
ITA,RENEWABLE,TOT,KTOE,A,2017," 1,391.50 ",
ITA,RENEWABLE,TOT,KTOE,A,2018," 1,891.47 ",
ITA,RENEWABLE,TOT,KTOE,A,2019," 1,747.78 ",
ITA,RENEWABLE,TOT,KTOE,A,2020," 1,161.83 ",
ITA,RENEWABLE,TOT,KTOE,A,2021," 1,938.33 ",
JPN,RENEWABLE,TOT,KTOE,A,2000, 445.12 ,
JPN,RENEWABLE,TOT,KTOE,A,2001, 370.19 ,
JPN,RENEWABLE,TOT,KTOE,A,2002, 388.35 ,
JPN,RENEWABLE,TOT,KTOE,A,2003, 499.01 ,
JPN,RENEWABLE,TOT,KTOE,A,2004, 632.94 ,
JPN,RENEWABLE,TOT,KTOE,A,2005, 865.30 ,
JPN,RENEWABLE,TOT,KTOE,A,2006," 1,145.10 ",
JPN,RENEWABLE,TOT,KTOE,A,2007," 1,209.31 ",
JPN,RENEWABLE,TOT,KTOE,A,2008," 1,696.03 ",
JPN,RENEWABLE,TOT,KTOE,A,2009," 1,021.17 ",
JPN,RENEWABLE,TOT,KTOE,A,2010," 1,458.96 ",
JPN,RENEWABLE,TOT,KTOE,A,2011," 2,022.89 ",
JPN,RENEWABLE,TOT,KTOE,A,2012," 2,042.53 ",
JPN,RENEWABLE,TOT,KTOE,A,2013," 2,120.32 ",
JPN,RENEWABLE,TOT,KTOE,A,2014," 2,116.44 ",
JPN,RENEWABLE,TOT,KTOE,A,2015," 1,189.90 ",
JPN,RENEWABLE,TOT,KTOE,A,2016, 900.80 ,
JPN,RENEWABLE,TOT,KTOE,A,2017," 1,286.11 ",
JPN,RENEWABLE,TOT,KTOE,A,2018," 1,802.04 ",
JPN,RENEWABLE,TOT,KTOE,A,2019," 1,743.98 ",
JPN,RENEWABLE,TOT,KTOE,A,2020," 1,253.80 ",
JPN,RENEWABLE,TOT,KTOE,A,2021," 1,999.11 ",
USA,RENEWABLE,TOT,KTOE,A,2000," 2,808.37 ",
USA,RENEWABLE,TOT,KTOE,A,2001," 1,969.17 ",
USA,RENEWABLE,TOT,KTOE,A,2002," 2,148.25 ",
USA,RENEWABLE,TOT,KTOE,A,2003," 2,690.33 ",
USA,RENEWABLE,TOT,KTOE,A,2004," 3,636.53 ",
USA,RENEWABLE,TOT,KTOE,A,2005," 5,135.70 ",
USA,RENEWABLE,TOT,KTOE,A,2006," 6,486.50 ",
USA,RENEWABLE,TOT,KTOE,A,2007," 7,284.22 ",
USA,RENEWABLE,TOT,KTOE,A,2008," 10,967.65 ",
USA,RENEWABLE,TOT,KTOE,A,2009," 6,926.43 ",
USA,RENEWABLE,TOT,KTOE,A,2010," 9,568.98 ",
USA,RENEWABLE,TOT,KTOE,A,2011," 13,851.11 ",
USA,RENEWABLE,TOT,KTOE,A,2012," 13,973.31 ",
USA,RENEWABLE,TOT,KTOE,A,2013," 14,407.84 ",
USA,RENEWABLE,TOT,KTOE,A,2014," 13,640.91 ",
USA,RENEWABLE,TOT,KTOE,A,2015," 6,855.76 ",
USA,RENEWABLE,TOT,KTOE,A,2016," 5,884.01 ",
USA,RENEWABLE,TOT,KTOE,A,2017," 7,817.09 ",
USA,RENEWABLE,TOT,KTOE,A,2018," 10,203.47 ",
USA,RENEWABLE,TOT,KTOE,A,2019," 9,852.08 ",
USA,RENEWABLE,TOT,KTOE,A,2020," 6,285.45 ",
USA,RENEWABLE,TOT,KTOE,A,2021," 10,845.36 ",
